-55.18888888888889,-76.73417721518987,-87.08333333333333,-80.23529411764706,-88,-89.95999999999999,-91,-94.05882352941177,-106.5,-108,-108,-108,-108,-108,-108,-108,-99.875,-108,-108,-108,-108,-108,-108,-108,-105.5,-108,-87.11290322580645,-89.82608695652173,-103.6666666666667,-92.84999999999999
-78.88095238095238,-63.8936170212766,-93.91666666666667,-77.44117647058823,-89.57142857142857,-87.91666666666667,-102.4285714285714,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-106.5,-95.42857142857143,-108,-108
-86.13888888888889,-102.1428571428571,-94.27272727272727,-106.5,-105.8333333333333,-108,-68.11666666666666,-97.85714285714286,-108,-108,-108,-108,-106.1666666666667,-108,-108,-108,-102.8333333333333,-108,-108,-108,-108,-108,-108,-108,-93.92857142857143,-101.7142857142857,-76.87719298245614,-88.42105263157895,-93.4375,-96.18181818181819
-90.60606060606061,-108,-97.55555555555556,-108,-108,-108,-67.4375,-92.13636363636364,-108,-108,-108,-108,-108,-108,-108,-108,-95.625,-108,-108,-108,-108,-108,-108,-108,-91.94117647058823,-106.1666666666667,-91.78125,-93.35714285714286,-89.66666666666667,-87.59375
-91.76000000000001,-87.76000000000001,-93.53846153846153,-77.23255813953489,-80.55319148936171,-72.27848101265823,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108
-86.9225352112676,-92.14634146341463,-96.8125,-94.1875,-93.77272727272727,-95.58823529411765,-91.25263157894737,-84.36904761904762,-90.5,-96.92857142857143,-91.43076923076923,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-88.55714285714286,-108,-85.82105263157895,-88.21348314606742,-105.8333333333333,-90.05128205128206
-84.75438596491227,-86.71739130434783,-99.09090909090909,-95.09090909090909,-91.5625,-105.5,-90.86538461538461,-82.75675675675676,-94.21428571428571,-102.8333333333333,-90.59999999999999,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-106.8333333333333,-101.5714285714286,-85.66666666666667,-95.73333333333333,-92,-94.22222222222223
-108,-108,-108,-108,-108,-108,-108,-79.67592592592592,-76.13698630136986,-80.97560975609755,-92.14285714285714,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-106.1666666666667,-103.6666666666667,-108,-93.36
-108,-108,-108,-108,-108,-108,-108,-82.48863636363636,-69.39080459770115,-83.18571428571428,-90.42592592592592,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-93.9047619047619
-108,-108,-108,-108,-108,-108,-108,-82.75824175824175,-70.32758620689656,-74.82758620689656,-91.84210526315789,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-92.17391304347827
-108,-108,-108,-108,-108,-108,-95.54545454545455,-77.08988764044943,-89.78571428571429,-80.06756756756756,-77,-108,-108,-108,-108,-108,-103.7142857142857,-108,-108,-108,-108,-108,-108,-108,-108,-105.8333333333333,-94.71428571428571,-101.8571428571429,-95.93333333333334,-86.40350877192982
-108,-108,-108,-108,-108,-108,-104.1666666666667,-84.64,-78.2463768115942,-73.47872340425532,-83.9247311827957,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-96.2
-108,-108,-108,-108,-108,-108,-108,-90.78313253012048,-84.46153846153847,-71.41111111111111,-89.78873239436619,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108
